Academic Year,Degree Type,Record Type,Count
2002-2003,Master of Philosophy,Degrees,194
2002-2003,PhD,Degrees,272
2002-2003,Total,Degrees,30963
2003-2004,Certificate,Degrees,128
2003-2004,Associate,Degrees,8629
2003-2004,Baccalaureate,Degrees,14037
2003-2004,Master's,Degrees,7095
2003-2004,Advance Certificate,Degrees,383
2003-2004,J.D.,Degrees,139
2003-2004,Master of Philosophy,Degrees,178
2003-2004,PhD,Degrees,298
2003-2004,Total,Degrees,30887
2004-2005,Certificate,Degrees,143
2004-2005,Associate,Degrees,9639
2004-2005,Baccalaureate,Degrees,15349
2004-2005,Master's,Degrees,6944
2004-2005,Advance Certificate,Degrees,364
2004-2005,J.D.,Degrees,144
2004-2005,Master of Philosophy,Degrees,155
2004-2005,PhD,Degrees,298
2004-2005,Total,Degrees,33036
2005-2006,Certificate,Degrees,153
2005-2006,Associate,Degrees,9563
2005-2006,Baccalaureate,Degrees,15487
2005-2006,Master's,Degrees,7202
2005-2006,Advance Certificate,Degrees,416
2005-2006,J.D.,Degrees,131
2005-2006,Master of Philosophy,Degrees,179
2005-2006,PhD,Degrees,330
2005-2006,Total,Degrees,33461
2006-2007,Certificate,Degrees,267
2006-2007,Associate,Degrees,9909
2006-2007,Baccalaureate,Degrees,15959
2006-2007,Master's,Degrees,7574
2006-2007,Advance Certificate,Degrees,403
2006-2007,J.D.,Degrees,123
2006-2007,Master of Philosophy,Degrees,207
2006-2007,PhD,Degrees,303
2006-2007,Total,Degrees,34745
2007-2008,Certificate,Degrees,350
2007-2008,Associate,Degrees,9991
2007-2008,Baccalaureate,Degrees,17059
2007-2008,Master's,Degrees,7547
2007-2008,Advance Certificate,Degrees,377
2007-2008,J.D.,Degrees,132
2007-2008,Master of Philosophy,Degrees,249
2007-2008,PhD,Degrees,358
2007-2008,Total,Degrees,36063
2008-2009,Certificate,Degrees,281
2008-2009,Associate,Degrees,10503
2008-2009,Baccalaureate,Degrees,17893
2008-2009,Master's,Degrees,7600
2008-2009,Advance Certificate,Degrees,310
2008-2009,J.D.,Degrees,121
2008-2009,Master of Philosophy,Degrees,267
2008-2009,PhD,Degrees,410
2008-2009,Total,Degrees,37385
2009-2010,Certificate,Degrees,352
2009-2010,Associate,Degrees,11203
2009-2010,Baccalaureate,Degrees,18453
2009-2010,Master's,Degrees,8125
2009-2010,Advance Certificate,Degrees,635
2009-2010,J.D.,Degrees,126
2009-2010,Master of Philosophy,Degrees,285
2009-2010,PhD,Degrees,408
2009-2010,Total,Degrees,39587
2010-2011,Certificate,Degrees,309
2010-2011,Associate,Degrees,13693
2010-2011,Baccalaureate,Degrees,20072
2010-2011,Master's,Degrees,8757
2010-2011,Advance Certificate,Degrees,773
2010-2011,J.D.,Degrees,111
2010-2011,Master of Philosophy,Degrees,281
2010-2011,PhD,Degrees,489
2010-2011,Total,Degrees,44485
2011-2012,Certificate,Degrees,268
2015-2016,BACHELOR'S,DEGREES,23709
2011-2012,Baccalaureate,Degrees,20773
2011-2012,Master's,Degrees,8686
2011-2012,Advance Certificate,Degrees,803
2011-2012,J.D.,Degrees,138
2011-2012,Master of Philosophy,Degrees,650
2011-2012,PhD,Degrees,494
2011-2012,Total,Degrees,46073
2012-2013,TOTAL,DEGREES,46429
2013-2014,JD,DEGREES,150
2014-2015,ADVANCED CERTIFICATE,DEGREES,654
2013-2014,TOTAL,DEGREES,47776
2012-2013,BACHELOR'S,DEGREES,21790
2013-2014,BACHELOR'S,DEGREES,22498
2014-2015,MASTER'S,DEGREES,8022
2013-2014,MASTER'S,DEGREES,8589
2014-2015,DOCTORAL,DEGREES,500
2014-2015,JD,DEGREES,111
2014-2015,ASSOCIATE,DEGREES,15478
2013-2014,DOCTORAL,DEGREES,545
2013-2014,CERTIFICATE,DEGREES,275
2013-2014,ADVANCED CERTIFICATE,DEGREES,690
2012-2013,MASTER'S OF PHILOSOPHY,DEGREES,304
2014-2015,CERTIFICATE,DEGREES,333
2014-2015,BACHELOR'S,DEGREES,22736
2012-2013,ADVANCED CERTIFICATE,DEGREES,711
2013-2014,ASSOCIATE,DEGREES,14589
2014-2015,TOTAL,DEGREES,48125
2012-2013,DOCTORAL,DEGREES,520
2012-2013,MASTER'S,DEGREES,8809
2012-2013,JD,DEGREES,141
2013-2014,MASTER'S OF PHILOSOPHY,DEGREES,440
2012-2013,CERTIFICATE,DEGREES,268
2014-2015,MASTER'S OF PHILOSOPHY,DEGREES,291
2012-2013,ASSOCIATE,DEGREES,13886
2011-2012,Associate,Degrees,13617
2015-2016,CERTIFICATE,DEGREES,212
2016-2017,TOTAL,DEGREES,51533
2016-2017,MASTER'S OF PHILOSOPHY,DEGREES,270
2016-2017,MASTER'S,DEGREES,7905
2015-2016,MASTER'S,DEGREES,7991
2016-2017,BACHELOR'S,DEGREES,24456
2016-2017,ADVANCED CERTIFICATE,DEGREES,741
2015-2016,JD,DEGREES,104
2015-2016,TOTAL,DEGREES,50022
2016-2017,DOCTORAL,DEGREES,521
2015-2016,DOCTORAL,DEGREES,544
2015-2016,ASSOCIATE,DEGREES,16345
2016-2017,CERTIFICATE,DEGREES,173
2015-2016,MASTER'S OF PHILOSOPHY,DEGREES,261
2015-2016,ADVANCED CERTIFICATE,DEGREES,856
2016-2017,JD,DEGREES,95
2016-2017,ASSOCIATE,DEGREES,17372
2017-2018,CERTIFICATE,DEGREES,334
2017-2018,ASSOCIATE,DEGREES,18247
2017-2018,BACHELOR'S,DEGREES,25371
2017-2018,MASTER'S,DEGREES,8187
2017-2018,ADVANCED CERTIFICATE,DEGREES,913
2017-2018,JD,DEGREES,95
2017-2018,MASTER'S OF PHILOSOPHY,DEGREES,277
2017-2018,DOCTORAL,DEGREES,518
2017-2018,TOTAL,DEGREES,53942
2019-2020,CERTIFICATE,DEGREE,287
2019-2020,ASSOCIATE,DEGREE,18499
2019-2020,BACHELOR'S,DEGREE,27219
2019-2020,MASTER'S,DEGREE,8508
2019-2020,ADVANCED CERTIFICATE,DEGREE,1095
2019-2020,JD,DEGREE,149
2019-2020,MD,DEGREE,45
2019-2020,MASTER'S OF PHILOSOPHY,DEGREE,229
2019-2020,DOCTORAL,DEGREE,496
2019-2020,TOTAL,DEGREE,56527
